id,glottocode,langname,langfamily,area,population,subsistence,latitude,longitude,avgmonth_tmp,minmonth_tmp,maxmonth_pre,maxmonth_wnd,logpop
mdp.39015053372523,gali1258,Galician,Indo-European,Eurasia,3185000,other,42.2446,-7.5343,11.81305576297972,5.226666760444641,170.4200039545695,4.7,14.973962846988401
uva.x002532556,gamb1252,Gambian Wolof,Atlantic-Congo,Africa,185000,other,13.5337,-16.1544,27.327778159247504,24.270000457763672,313.5100036621094,2.3,12.128111104060462
uva.x001013110,gand1255,Ganda,Atlantic-Congo,Africa,4130000,other,0.66884,32.15153,22.094722588857017,21.22000045776367,159.6333366394043,2.7,15.233787964937216
uc1.32106001632634,gand1255,Ganda,Atlantic-Congo,Africa,4130000,other,0.66884,32.15153,22.094722588857017,21.22000045776367,159.6333366394043,2.7,15.233787964937216
mdp.39015048568318,gari1256,Garifuna,Arawakan,North America,130800,other,15.3529,273.09090000000003,23.022500361336604,20.410000356038413,192.0166690826416,6.9,11.781424718005235
other.gbari_blench_gbar1246,gbar1246,Gbari,Atlantic-Congo,Africa,350000,other,8.46411,7.10757,26.90722262594435,25.110000356038412,227.07333628336588,2.6,12.765688433465597
mdp.39015023996856,geda1237,Gedaged,Austronesian,Papunesia,6950,other,-5.18175,145.781,26.1011114915212,25.68333371480306,383.5100067138672,3.4,8.846496938558838
mdp.39015018467541,geez1241,Geez,Afro-Asiatic,Africa,5150000,other,10.1342,40.6821,27.02388925022549,23.456666882832845,121.91000162760416,2.4,15.454507272639919
mdp.39015019367013,gela1263,Gela,Austronesian,Papunesia,11900,other,-9.04587,160.186,26.667222637600368,25.806667200724284,342.78333740234376,1.3,9.38429367909962
uva.x001957729,nucl1302,Georgian,Kartvelian,Eurasia,4016300,other,41.850397,43.78613,5.769444561687608,-7.446666836738586,116.96000213623049,2.8,15.205871638758927
uc1.32106001621538,nucl1302,Georgian,Kartvelian,Eurasia,4016300,other,41.850397,43.78613,5.769444561687608,-7.446666836738586,116.96000213623049,2.8,15.205871638758927
mdp.39015033826531,stan1295,German,Indo-European,Eurasia,83520790,other,48.649,12.4676,8.371111271965008,-1.9866667134066425,98.4966692606608,2.7,18.240606140866127
hvd.hwjlh5,stan1295,German,Indo-European,Eurasia,83520790,other,48.649,12.4676,8.371111271965008,-1.9866667134066425,98.4966692606608,2.7,18.240606140866127
coo1.ark:/13960/t23b6kx7h,stan1295,German,Indo-European,Eurasia,83520790,other,48.649,12.4676,8.371111271965008,-1.9866667134066425,98.4966692606608,2.7,18.240606140866127
uc1.c042147711,stan1295,German,Indo-European,Eurasia,83520790,other,48.649,12.4676,8.371111271965008,-1.9866667134066425,98.4966692606608,2.7,18.240606140866127
uc2.ark:/13960/t9m33309m,stan1295,German,Indo-European,Eurasia,83520790,other,48.649,12.4676,8.371111271965008,-1.9866667134066425,98.4966692606608,2.7,18.240606140866127
uc1.32106010883590,stan1295,German,Indo-European,Eurasia,83520790,other,48.649,12.4676,8.371111271965008,-1.9866667134066425,98.4966692606608,2.7,18.240606140866127
mdp.39015014856960,stan1295,German,Indo-European,Eurasia,83520790,other,48.649,12.4676,8.371111271965008,-1.9866667134066425,98.4966692606608,2.7,18.240606140866127
nyp.33433069251639,stan1295,German,Indo-European,Eurasia,83520790,other,48.649,12.4676,8.371111271965008,-1.9866667134066425,98.4966692606608,2.7,18.240606140866127
chi.097261281,stan1295,German,Indo-European,Eurasia,83520790,other,48.649,12.4676,8.371111271965008,-1.9866667134066425,98.4966692606608,2.7,18.240606140866127
nnc1.0037108425,stan1295,German,Indo-European,Eurasia,83520790,other,48.649,12.4676,8.371111271965008,-1.9866667134066425,98.4966692606608,2.7,18.240606140866127
nyp.33433082312459,stan1295,German,Indo-European,Eurasia,83520790,other,48.649,12.4676,8.371111271965008,-1.9866667134066425,98.4966692606608,2.7,18.240606140866127
uc1.31210001382041,stan1295,German,Indo-European,Eurasia,83520790,other,48.649,12.4676,8.371111271965008,-1.9866667134066425,98.4966692606608,2.7,18.240606140866127
